Code,Name,IsBig,IsMHLDOnly,ShortName,Abbr,FullName,FullNameWelsh,OrgCodeOverride,Postcode
7A6AS,County,FALSE,FALSE,County,Cnty,County Hospital,Ysbyty'r Sir,,NP4  5YA
7A6AV,Ystrad Fawr,TRUE,FALSE,Ystrad Fawr,YYF,Ysbyty Ystrad Fawr,,,CF82 7GP
7A6AU,Aneurin Bevan,FALSE,FALSE,Aneurin Bevan,YAB,Ysbyty Aneurin Bevan,,,NP23 8XE
7A6AM,Nevill Hall,TRUE,FALSE,Nevill Hall,NHH,Nevill Hall Hospital,Ysbyty Neuadd Nevill,,NP7  7EG
7A6BJ,Chepstow,FALSE,FALSE,Chepstow,Chep,Chepstow Community Hospital,Ysbyty Cymunedol Cas-gwent,,NP16 5YX
7A7EJ,Ystradgynlais,FALSE,FALSE,Ystradgynlais,Ygnls,Ystradgynlais Community Hospital,Ysbyty Cymunedol Ystradgynlais,,SA9  1AE
7A7BT,Breconshire,FALSE,FALSE,Brecon,BrWMH,Breconshire War Memorial Hospital,Ysbyty Coffa Rhyfel Brycheiniog,,LD3  7NS
7A7BN,Llandrindod Wells,FALSE,FALSE,Llandrindod,LWWMH,Llandrindod Wells War Memorial Hospital,Ysbyty Coffa Rhyfel Llandrindod Wells,,LD1  5HF
7A7BR,Montgomery,FALSE,FALSE,Montgomery,Mntgm,Montgomery County Infirmary,Clafdy Sirol Maldwyn,,SY16 2DW
7A7BS,Victoria,FALSE,FALSE,Victoria,VicMH,Victoria Memorial Hospital,Ysbyty Coffa Victoria,,SY21 7DU
XXXXX,Other Site,FALSE,FALSE,Other,Other,Other Site,Safle Arall,,
